BodyType,Make,GenModel,Model,Fuel,EngineSizeSimple,EngineSizeDesc
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR,Petrol,1400,1301cc to 1400cc
Cars,ABARTH,ABARTH 124,124 GT MULTIAIR AUTO,Petrol,1400,1301cc to 1400cc
Cars,ABARTH,ABARTH SPIDER,124 SPIDER MULTIAIR,Petrol,1400,1301cc to 1400cc
Cars,ABARTH,ABARTH SPIDER,124 SPIDER MULTIAIR AUTO,Petrol,1400,1301cc to 1400cc
Cars,ABARTH,ABARTH SPIDER,124 SPIDER SCORPIONE MULTIAIR,Petrol,1400,1301cc to 1400cc
Cars,ALFA ROMEO,ALFA ROMEO 164,164 V6 SUPER 24V,Petrol,3000,2901cc to 3000cc
Cars,ALFA ROMEO,ALFA ROMEO 166,166 V6,Petrol,3200,3101cc to 3200cc
Cars,ALFA ROMEO,ALFA ROMEO 166,166 V6 24V SPORTRONIC,Petrol,3000,2901cc to 3000cc
Cars,ALFA ROMEO,ALFA ROMEO 166,166 V6 SUPER,Petrol,3000,2901cc to 3000cc
Cars,ALFA ROMEO,ALFA ROMEO 1750,1750,Petrol,1800,1701cc to 1800cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,4000,3901cc to 4000cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,4100,4001cc to 4100cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,4300,4201cc to 4300cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,5200,5101cc to 5200cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,5400,5301cc to 5400cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,6000,5901cc to 6000cc
Cars,ASTON MARTIN,ASTON MARTIN DBS,DBS,Petrol,6100,6001cc to 6100cc
Cars,AUDI,AUDI A1,A1 S LINE TFSI,Petrol,1400,1301cc to 1400cc
Cars,AUDI,AUDI A1,A1 S LINE TFSI 185 S-A,Petrol,1400,1301cc to 1400cc
Cars,AUDI,AUDI A1,A1 S LINE TFSI S-A,Petrol,1400,1301cc to 1400cc
Cars,AUDI,AUDI A1,A1 S LINE TFSI S-A,Petrol,2100,2001cc to 2100cc
Cars,AUDI,AUDI A1,A1 S LINE VORSPRUNG 30 TFSI,Petrol,1000,901cc to 1000cc
Cars,AUDI,AUDI A1,A1 S LINE VORSPRUNG 30 TFSI SA,Petrol,1000,901cc to 1000cc
Cars,FERRARI,FERRARI 296,296 GTB S-A,Hybrid electric (Petrol),3000,2901cc to 3000cc
Cars,FERRARI,FERRARI 360,360 MODENA,Petrol,3600,3501cc to 3600cc
Cars,FERRARI,FERRARI 360,360 MODENA,Petrol,3700,3601cc to 3700cc
Cars,FERRARI,FERRARI 430,430 SCUDERIA S-A,Petrol,4400,4301cc to 4400cc
Cars,FERRARI,FERRARI 458,458 ITALIA DCT S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD HELE S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 458,458 SPECIALE A AD S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 458,458 SPECIALE AB HELE S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 458,458 SPECIALE AB S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 458,458 SPIDER DCT S-A,Petrol,4600,4501cc to 4600cc
Cars,FERRARI,FERRARI 488,488 GTB S-A,Petrol,3000,2901cc to 3000cc
Cars,FERRARI,FERRARI 488,488 GTB S-A,Petrol,4000,3901cc to 4000cc
Cars,FERRARI,FERRARI 488,488 PISTA S-A,Petrol,4000,3901cc to 4000cc
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,Petrol,4000,3901cc to 4000cc
Cars,FERRARI,FERRARI 488,488 SPIDER S-A,Petrol,4500,4401cc to 4500cc
Cars,FERRARI,FERRARI 575,575 SUPERAMERICA,Petrol,5800,5701cc to 5800cc
Cars,FERRARI,FERRARI 575M,575M MARANELLO,Diesel,5800,5701cc to 5800cc
Cars,FIAT,FIAT 500,500,Petrol,1100,1001cc to 1100cc
Cars,FIAT,FIAT 500,500,Petrol,1300,1201cc to 1300cc
Cars,FIAT,FIAT 500,500,Petrol,1400,1301cc to 1400cc
Cars,FIAT,FIAT 500,500,Petrol,1500,1401cc to 1500cc
Cars,FIAT,FIAT 500,500,Petrol,1600,1501cc to 1600cc
Cars,FIAT,FIAT 500,500,Petrol,1700,1601cc to 1700cc
Cars,FIAT,FIAT 500,500,Petrol,1900,1801cc to 1900cc
Cars,FIAT,FIAT 500,500,Petrol,200,101cc to 200cc
Cars,FIAT,FIAT 500,500,Petrol,2100,2001cc to 2100cc
Cars,FIAT,FIAT 500,500,Petrol,2600,2501cc to 2600cc
Cars,FIAT,FIAT 500,500,Petrol,500,401cc to 500cc
Cars,FIAT,FIAT 500,500,Petrol,5000,4901cc to 5000cc
Cars,FIAT,FIAT 500,500,Petrol,600,501cc to 600cc
Cars,FIAT,FIAT 500,500,Petrol,700,601cc to 700cc
Cars,FIAT,FIAT 500,500,Petrol,800,701cc to 800cc
Heavy goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 AUTO,Diesel,2300,2201cc to 2300cc
Heavy goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBL/EBL,Diesel,2200,2101cc to 2200cc
Heavy goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBL/EBL,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBL/EBL,Diesel,2200,2101cc to 2200cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBL/EBL,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBL/EBL,Diesel,2400,2301cc to 2400cc
Heavy goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBM/EB,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T 7057 DBM/EB,Diesel,2300,2201cc to 2300cc
Heavy goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T7057 DBM/EB A,Diesel,2300,2201cc to 2300cc
Heavy goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T7057DBL/EBL A,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TREND T7057DBL/EBL A,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TRENDEDITION T6717 A,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TRENDSOMO T7057DBMEB,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TRSMO1 T7057DBM/EB A,Diesel,2300,2201cc to 2300cc
Light goods vehicles,FIAT,FIAT DETHLEFFS,DETHLEFFS TRSMO2 T7057DBM/EB A,Diesel,2300,2201cc to 2300cc
Cars,FORD,FORD MODEL MISSING,MISSING,Battery electric,[z],[z]
Cars,FORD,FORD MODEL MISSING,MISSING,Diesel,100,Up to 100cc
Cars,FORD,FORD MODEL MISSING,MISSING,Diesel,1100,1001cc to 1100cc
Cars,FORD,FORD MODEL MISSING,MISSING,Diesel,1200,1101cc to 1200cc
Cars,FORD,FORD MODEL MISSING,MISSING,Diesel,1400,1301cc to 1400cc
Cars,FORD,FORD MODEL MISSING,MISSING,Diesel,1500,1401cc to 1500cc
Cars,FORD,FORD MODEL MISSING,MISSING,Diesel,1600,1501cc to 1600cc
Cars,FORD,FORD MUSTANG,MUSTANG GHIA,Petrol,3800,3701cc to 3800cc
Cars,FORD,FORD MUSTANG,MUSTANG GHIA,Petrol,4800,4701cc to 4800cc
Cars,FORD,FORD MUSTANG,MUSTANG GHIA,Petrol,5100,5001cc to 5100cc
Cars,FORD,FORD MUSTANG,MUSTANG GHIA,Petrol,5800,5701cc to 5800cc
Cars,FORD,FORD MUSTANG,MUSTANG GHIA AUTO,Petrol,3800,3701cc to 3800cc
Cars,FORD,FORD MUSTANG,MUSTANG GT,Diesel,4700,4601cc to 4700cc
Cars,FORD,FORD MUSTANG,MUSTANG GT,Diesel,4800,4701cc to 4800cc
